models,samplers,flatSamples,labels,solutions,solutionErrors,k,ln L,AIC,AICc,BIC,HQC
"model1: 1 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b5e790880>,"[[ 3.80101131e-01  4.16289272e-04  2.45267383e-01 ...  6.08467348e+00
   1.04749684e+02 -1.92327454e+01]
 [ 3.80061116e-01  4.19754824e-04  2.44964769e-01 ...  6.08229274e+00
   1.04751383e+02 -1.92321365e+01]
 [ 3.80084763e-01  2.80958905e-04  2.45154088e-01 ...  6.08290954e+00
   1.04751131e+02 -1.92322011e+01]
 ...
 [ 3.80054919e-01  2.88471996e-04  4.37100572e-02 ... -1.06709690e-01
   1.04746506e+02 -1.21207457e+28]
 [ 3.80028887e-01  2.95983757e-04  3.63300991e-01 ... -4.78816176e+00
   1.04737046e+02 -4.73806318e+27]
 [ 3.80023385e-01  3.51780054e-04  3.78135685e-01 ...  3.77078880e+00
   1.04739995e+02 -1.22091313e+28]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']","[0.3800155610816976, 0.0003471044966013629, 0.24512608876242373, 1.0578366089665553e-06, 1.0822848011212343, 104.73772700426612, -13290652874731.516]","[[[2.2940731837894912e-05, 2.138959482683722e-05]], [[4.204294159624623e-05, 3.696934345027335e-05]], [[0.15917371613199333, 0.16977697180529253]], [[7.579930706303345e-06, 7.465844598738137e-06]], [[5.131781222660289, 4.660850987685032]], [[0.0042955395139046, 0.0056275115869794945]], [[1.2965192888094125e+23, 13290652874712.082]]]",4,-711.2940794961245,1430.588158992249,1430.9619907679498,1441.4621544774293,1435.0000846984153
"model1: 1 perturbers, dual annealing fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2afeb09ca0>,"[[ 2.16596485e-01  3.58129644e-04  3.23524449e-02 ...  5.58934743e+00
   3.78029917e+01 -7.37424866e+01]
 [ 2.16612511e-01  6.33584768e-04  3.37195807e-02 ...  5.58992686e+00
   3.78024356e+01 -7.37427632e+01]
 [ 2.16604817e-01  4.17734179e-04  3.25125731e-02 ...  5.58908611e+00
   3.78022253e+01 -7.37416691e+01]
 ...
 [ 2.16633303e-01  5.57570894e-04  4.84881390e-01 ...  2.01139229e+00
   3.77913932e+01 -7.82314944e+24]
 [ 2.16583396e-01  7.95068284e-04  3.29889716e-02 ...  5.58933303e+00
   3.78027205e+01 -7.37426658e+01]
 [ 2.16633382e-01  6.64659048e-04  1.54188258e-02 ...  5.91596584e+00
   3.77917960e+01 -3.26637648e+24]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']","[0.21663067504261913, 0.0005916654076200949, 0.17151682137228852, 2.2073292387375044e-06, 2.907212195918644, 37.792822992735395, -422707075.0406013]","[[[1.8164379876284276e-05, 9.660256725718686e-06]], [[9.432160634941422e-05, 8.285222779647028e-05]], [[0.138472292149237, 0.2192489264135688]], [[7.7843451319159e-06, 0.00019124744945545223]], [[6.108878728992833, 2.682120832666263]], [[0.0027115153897838695, 0.009962181172646467]], [[2.397328223780952e+18, 422707001.2982956]]]",4,-711.4768977545677,1430.9537955091355,1431.3276272848364,1441.8277909943158,1435.3657212153018
"model1: 2 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3a39b520>,"[[ 1.24273769e+00  5.09216562e-05  2.38738980e-01 ... -1.16509096e+00
   1.48196911e+02 -3.37217306e-01]
 [ 1.24245296e+00  7.93786682e-05  2.38651101e-01 ... -1.16495261e+00
   1.48197037e+02 -3.37311847e-01]
 [ 1.24249766e+00  3.11739621e-05  2.38394364e-01 ... -1.16501367e+00
   1.48197010e+02 -3.37277034e-01]
 ...
 [ 1.26007934e+00  2.72165359e-06  2.14743316e-01 ... -1.17904707e+00
   1.48182866e+02 -3.28702099e-01]
 [ 1.26131508e+00  1.94766603e-06  2.47094853e-01 ... -1.16600261e+00
   1.48200200e+02 -3.21856333e-01]
 [ 1.24253022e+00 -9.60572076e-05  2.38744596e-01 ... -1.16491338e+00
   1.48196898e+02 -3.37376208e-01]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']","[1.2425477613039424, 6.043635757197359e-05, 0.2386481764924374, 2.9041442260475236e-06, -0.8640457445764169, 187.193353417116, 0.13517013343896078, 6.79831607160914e-05, 0.19523452848462863, 1.8873897778142252e-06, -1.1650063326059605, 148.19691241928078, -0.33734259837509273]","[[[0.0009882405170684727, 0.0004312426322112817]], [[5.846040654775365e-05, 5.800774909414017e-05]], [[0.03834333383739394, 0.006735013050242794]], [[2.5259632782962886e-05, 0.00012016399624901767]], [[0.015181459833902733, 0.0026093780090665764]], [[0.1113953118938582, 0.0058887581872113515]], [[0.03391089303351666, 0.0125931715624919]], [[9.869164423060839e-05, 0.00023351403300807873]], [[0.011056388007008755, 0.008038105747474544]], [[4.6442187601092965e-05, 0.0001254466748963953]], [[0.016679627172797806, 0.009088957051480273]], [[0.05192118740788487, 0.0032874123029955626]], [[0.05253477759880498, 0.015480636388706337]]]",7,-814.0877891817877,1642.1755783635754,1643.2525014404985,1661.205070462641,1649.8964483493667
"model1: 2 perturbers, dual annealing fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3a5a7070>,"[[ 2.26704211e-01  2.23224811e-04  4.63775706e-01 ... -2.24010249e+00
   2.15625025e+01 -5.79142668e+01]
 [ 2.26215460e-01  2.48557790e-05  4.63473847e-01 ... -2.24020514e+00
   2.15626112e+01 -5.79147986e+01]
 [ 2.26381274e-01  1.67934317e-04  4.63352755e-01 ... -2.24000314e+00
   2.15625314e+01 -5.79146117e+01]
 ...
 [ 2.26280953e-01  2.27884059e-04  4.63347082e-01 ... -2.24001446e+00
   2.15625292e+01 -5.79147056e+01]
 [ 2.21563549e-01  4.04378038e-04  1.23703604e-01 ... -2.36154616e+00
   2.15876592e+01 -5.77512605e+01]
 [ 2.25697728e-01  6.54722447e-04  4.94331813e-01 ...  6.75843718e-03
   2.26994806e+01 -5.79748138e+01]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']","[0.2262988711298601, 0.0002693840225499234, 0.463250191141773, -2.3792522116551916e-06, -6.24097911711557, 190.35340257039533, 0.5850298474929915, 6.901127180963851e-05, 0.48286272700764443, 3.3521953763894255e-06, -2.240138444655177, 21.562547741304005, -57.91460512001216]","[[[0.0046443153300906315, 0.0003055213755029651]], [[0.00012862255287921328, 0.00025647396565683434]], [[0.0597961511139774, 0.014702540896629479]], [[8.649142690375475e-05, 1.1653401859996658e-05]], [[0.000457523633452972, 0.1218108774706037]], [[0.0004158723636180639, 0.03620987764071515]], [[0.09235472742889528, 0.0008172863889717163]], [[5.311291936379918e-05, 0.00018122590186354362]], [[0.04343797925376375, 0.007148287086870098]], [[6.962923208340575e-05, 5.811837023893776e-05]], [[0.017876585735074446, 0.11717541730770531]], [[0.004788905058450865, 0.06029844202411283]], [[0.0010895043051206699, 0.04274764192238223]]]",7,-796.4195768956047,1606.8391537912094,1607.9160768681324,1625.868645890275,1614.5600237770007
"model1: 3 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3a385ee0>,"[[ 2.42068915e-01  5.97842068e-04  3.86140256e-01 ...  3.37230912e-01
   1.00640974e+02 -7.64962554e+00]
 [ 2.41999708e-01  5.09629750e-04  3.86097937e-01 ...  3.37097313e-01
   1.00640923e+02 -7.64965706e+00]
 [ 2.41913292e-01  7.36543737e-04  3.86045480e-01 ...  3.37083997e-01
   1.00640801e+02 -7.64975777e+00]
 ...
 [ 2.41894631e-01  5.44286923e-04  3.91270183e-01 ...  3.32029051e-01
   1.00641368e+02 -7.63594469e+00]
 [ 2.41877318e-01  5.49179999e-04  3.86176360e-01 ...  3.37219590e-01
   1.00640984e+02 -7.64953591e+00]
 [ 2.41899518e-01  4.71656126e-04  3.86132233e-01 ...  3.37093444e-01
   1.00640939e+02 -7.64975924e+00]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1', 'a_2', 'mu_2', 'e_2', 'i_2', 'ω_2', 't0_2']","[0.24187973264933, 0.0005631227086618164, 0.3861297830987935, -1.8885063026543965e-06, -2.9605890478998593, 39.52213060745156, 0.263829466669708, 1.0224060970108247e-05, 0.44924561987401984, -3.3477168028376875e-06, -5.18026674617895, 20.23316275542125, 0.2365260806416296, 4.818412414260714e-05, 0.008575033347504046, -1.4942810399764443e-05, 0.3371605296870499, 100.64087896297144, -7.6496577468275255]","[[[7.620080830958442e-05, 9.188440582683088e-05]], [[8.949244345424407e-05, 9.609667878518328e-05]], [[0.00011119836640127723, 0.00012990275378599314]], [[7.384608796425561e-05, 9.569229516198698e-05]], [[0.00012140466298138364, 0.00010208888580631736]], [[0.00013159016796748801, 9.332905356274068e-05]], [[0.00013661756230887168, 0.00010839003121526636]], [[0.00010615522060262398, 0.00010207445485784076]], [[0.0001150738144982677, 0.00013989631163879857]], [[9.554316298787422e-05, 0.00010621419089036845]], [[0.0001048864455777121, 0.0001246655542832542]], [[0.00013759467404739212, 0.00012347074856222662]], [[9.787017965140477e-05, 0.00011686194134591377]], [[8.206634528823631e-05, 8.348751602350985e-05]], [[0.0001317928824662168, 0.00011853458214746045]], [[9.623088303798328e-05, 6.037134313537761e-05]], [[0.00013154763392159152, 9.855105200862191e-05]], [[7.800046091688273e-05, 0.00012430197780588514]], [[0.000131966225906055, 0.00011409994232636222]]]",10,-715.4063456400991,1450.8126912801981,1452.9909091019804,1477.9976799931492,1461.8425055456144
"model1: 3 perturbers, dual annealing fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3a3a5250>,"[[ 1.41174796e+00  1.22449286e-04  2.05084580e-01 ... -6.02577584e+00
   1.02801705e+02 -9.45567470e+00]
 [ 1.41171687e+00  2.55805816e-05  2.05088279e-01 ... -6.02567330e+00
   1.02801561e+02 -9.45565561e+00]
 [ 1.41171925e+00  8.85676601e-05  2.05007975e-01 ... -6.02561888e+00
   1.02801598e+02 -9.45566623e+00]
 ...
 [ 1.41147893e+00 -8.04251241e-05  2.05015253e-01 ... -6.02585499e+00
   1.02801686e+02 -9.45583562e+00]
 [ 1.41176557e+00 -4.23974503e-05  2.05183105e-01 ... -6.02563150e+00
   1.02801575e+02 -9.45570569e+00]
 [ 1.41140640e+00 -4.56651892e-05  2.05193770e-01 ... -6.02557456e+00
   1.02801604e+02 -9.45561293e+00]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1', 'a_2', 'mu_2', 'e_2', 'i_2', 'ω_2', 't0_2']","[1.411593248025604, 4.978818509669716e-06, 0.20506541536120265, -7.337743284327056e-06, 3.550501869507227, 81.25223077541193, 0.24099140700427904, 0.00018907992700813707, 0.35380678026845813, 9.180787038541452e-06, 0.18545213388082205, 195.30101731974867, 0.31047034002199136, 0.000438822435445878, 0.05875755375174012, -6.022039227201244e-06, -6.025699916549043, 102.80160694618604, -9.455798073335432]","[[[0.0001868464196803643, 0.00011283403894646327]], [[7.242815633976036e-05, 8.358884157275692e-05]], [[0.00011816727838623309, 0.0001281981729709114]], [[8.797003883539475e-05, 7.710858360757993e-05]], [[0.00017022618059181482, 0.00013504257373986306]], [[0.00014207568470681053, 9.70092002603451e-05]], [[0.00011542450258231196, 0.00012099705705842512]], [[0.00012299618330051382, 0.00012751419049819845]], [[0.00014115805304482087, 0.0001355699122037035]], [[0.00010437082790918113, 9.001560022020363e-05]], [[0.00012670364490016683, 0.0001632527923565441]], [[0.00010684671124749912, 0.0001779646749469066]], [[0.00010157125129500733, 9.424124383783372e-05]], [[0.00011350533313674743, 7.079784285800859e-05]], [[9.418403798392566e-05, 0.00013506521369323343]], [[0.00010841771691225832, 7.501233210161634e-05]], [[0.0001412653218180182, 0.00013308647949106245]], [[0.00015797413055906873, 0.00011276209582433694]], [[0.00015888459763147011, 0.00013184580551950376]]]",10,-746.0288543177772,1512.0577086355545,1514.2359264573367,1539.2426973485053,1523.0875229009707
"model2: 1 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3a3aa580>,"[[ 1.85222285e-01  4.82850288e-04  3.43910676e-01 ...  2.01837892e+00
   6.15376892e+01 -2.82190332e+01]
 [ 1.85177309e-01  4.97089154e-04  3.43704908e-01 ...  2.01851948e+00
   6.15370054e+01 -2.82184897e+01]
 [ 1.85167619e-01  6.67762128e-04  3.44039470e-01 ...  2.01842713e+00
   6.15367811e+01 -2.82186658e+01]
 ...
 [ 1.65091248e-01  5.76060303e-04  1.51366536e-01 ...  2.45331364e+00
   6.14694962e+01 -8.77474711e+05]
 [ 2.41861218e-01  2.85770446e-04  2.40139964e-01 ...  1.63732426e+00
   6.16996247e+01 -2.42989534e+06]
 [ 1.85112751e-01  5.93642602e-04  3.43678848e-01 ...  2.01841535e+00
   6.15367882e+01 -2.82186537e+01]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']","[0.18524188318372703, 0.0006087669073928361, 0.1216166945220394, -6.129240843822975e-07, 1.42486746376749, 61.53565880298056, -190648.23661156]","[[[0.000129131716214953, 0.03631529393961616]], [[0.00024098047514272477, 0.00014033019551154752]], [[0.0929915752107533, 0.18444700338151593]], [[6.936958467205233e-06, 6.9366169244909375e-06]], [[4.410962750078893, 1.9266505541145942]], [[0.08122594636385116, 0.11313182542482281]], [[17187658091.116653, 190619.8280690942]]]",5,-727.5898682254901,1465.1797364509803,1465.7457741868293,1478.7722308074558,1470.6946435836883
"model2: 1 perturbers, dual annealing fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3c9a6a30>,"[[ 4.22383750e-01  1.14998285e-06  1.19467439e-01 ... -2.16286775e-02
   1.07050765e+02 -3.86221838e+01]
 [ 4.40233317e-01  5.70566256e-05  1.34987084e-01 ... -2.83981096e-02
   1.07034927e+02 -3.86350612e+01]
 [ 4.07993480e-01  9.19718490e-05  1.07483050e-01 ...  1.57665889e-03
   1.07049636e+02 -3.86260035e+01]
 ...
 [ 4.40785112e-01  2.72043063e-04  7.34529304e-02 ... -4.89774388e+00
   1.12578681e+02 -3.10310542e+01]
 [ 3.22879049e-01  4.78906478e-04  5.04565752e-02 ...  3.53761371e-02
   1.07719539e+02 -3.77188516e+01]
 [ 4.19651272e-01  3.10843770e-04  1.16216855e-01 ... -1.94197004e-02
   1.07052937e+02 -3.86219542e+01]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']","[0.44082118991234576, 0.00016720652875270624, 0.09632505578102193, 1.6773167686697702e-06, 0.055278007171420326, 107.18319107621596, -38.62195422601335]","[[[0.15757030735804556, 0.27745262994172215]], [[6.749430930983553e-05, 0.00011500664197578827]], [[0.06765111178013031, 0.09818247640981068]], [[7.353189092376379e-06, 6.016945418680529e-06]], [[2.5691162459980545, 1.75081919531495]], [[1.7018984816702272, 2.6195443371355083]], [[2.34691815927966, 3.7902523253032925]]]",5,-721.2926414030998,1452.5852828061995,1453.1513205420486,1466.177777162675,1458.1001899389075
"model2: 2 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b5e7900d0>,"[[ 1.18651540e-01  3.78943655e-04  1.86555436e-02 ...  1.51819887e+00
   7.28694883e+01 -7.94019795e+01]
 [ 1.18795306e-01  4.55415322e-04  1.84400603e-02 ...  1.51826962e+00
   7.28693434e+01 -7.94019053e+01]
 [ 1.18717841e-01  3.99718605e-04  1.84484034e-02 ...  1.51837357e+00
   7.28695388e+01 -7.94019569e+01]
 ...
 [ 9.13961437e-02  2.87280327e-04  5.96518475e-02 ... -9.95229309e-02
   7.27492441e+01 -8.13072642e+01]
 [ 1.29417350e-01  8.48359347e-05  4.18316149e-01 ... -2.57737727e+00
   7.24873968e+01 -9.43814901e+01]
 [ 1.30917439e-01  1.47931931e-04  2.37800166e-01 ...  1.39956771e-01
   7.27741590e+01 -1.00901041e+02]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']","[0.1189362249099205, 0.000307455135427436, 0.018621372955834922, -1.0927011362468377e-06, -0.2853386826254947, 103.9527057969044, 0.8339576205673762, 0.00014228633429233412, 0.13504062253147012, 1.0350294982679024e-06, 1.5183264319035852, 72.86939306398708, -79.40202824923327]","[[[0.006823023322346897, 0.06581874469813807]], [[0.0002663985901001284, 0.0001793307195098038]], [[0.00018131269787340434, 0.22033711419296742]], [[4.8106202341433854e-05, 5.1411616334765606e-05]], [[0.8260906105955552, 0.036898729618649734]], [[0.0011438301343815738, 0.7082180593392309]], [[0.00014476998210877223, 0.00019266293969377735]], [[6.664456222308392e-05, 3.980634351282393e-05]], [[0.08017994936818613, 0.001840328228703808]], [[4.04013451127229e-05, 0.00011426154014163224]], [[0.5926322435032394, 0.013410822509803078]], [[0.027356074092864446, 0.03388349252686851]], [[1.3364160009934807, 0.0005488636710708761]]]",9,-723.7317667243619,1465.4635334487239,1467.2282393310768,1489.9300232903797,1475.3903662875985
"model2: 2 perturbers, dual annealing fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b3c89ff70>,"[[ 5.00496909e-01  1.95577448e-04  1.01142536e-01 ...  1.40458694e+00
   5.49296766e+01 -6.61334179e+01]
 [ 5.00440603e-01  7.68640976e-05  1.01086395e-01 ...  1.40440208e+00
   5.49295321e+01 -6.61333272e+01]
 [ 5.00372046e-01  2.44335383e-04  1.01015087e-01 ...  1.40433968e+00
   5.49296029e+01 -6.61333361e+01]
 ...
 [ 5.00393518e-01  2.87655143e-04  1.77014903e-01 ...  1.77185938e+00
   4.30516528e+01 -6.47995005e+01]
 [ 5.00364340e-01  3.85238539e-04  1.01043224e-01 ...  1.40467671e+00
   5.49296496e+01 -6.61333080e+01]
 [ 5.00411370e-01  3.84542727e-04  7.31226582e-02 ...  1.58337799e+00
   5.50484442e+01 -6.61924580e+01]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']","[0.5003619042613161, 0.000263076012595236, 0.10104969296917726, 1.603232813097481e-06, -2.6549407723372056, 196.01810641051154, 0.3355079285239396, 8.930460495555934e-05, 0.14175788836062503, -5.104434758854864e-06, 1.4044425605863067, 54.929598990514464, -66.13341790850596]","[[[8.995506904874162e-05, 5.7555102335626884e-05]], [[6.584670371662663e-05, 6.239751902159947e-05]], [[0.06002598564850975, 0.028042102045791828]], [[1.1110359412570256e-05, 4.22979153034424e-05]], [[0.46276713879070597, 4.823971200106566]], [[0.040290587844850734, 0.22246521800579444]], [[0.20695218226442813, 0.12333460434823534]], [[7.802459252980701e-05, 0.00011904954888197847]], [[0.042641058354954034, 0.2033292989243311]], [[9.825027331701521e-05, 1.118047748587267e-05]], [[1.1885347017808123, 1.6995650644378726]], [[1.7431139875967503, 1.1510207550322917]], [[2.7462423182733886, 0.46354140723191506]]]",9,-718.2013030888122,1454.4026061776244,1456.1673120599773,1478.8690960192803,1464.329439016499
"model2: 3 perturbers, differential evolution fitting",<emcee.ensemble.EnsembleSampler object at 0x7f2b5e7aba90>,"[[ 8.34004304e-01  3.09414015e-04  2.62409068e-01 ... -1.76134944e+00
   1.05053531e+02 -1.49305001e+00]
 [ 8.33981112e-01  2.35309950e-04  2.62512953e-01 ... -1.76122715e+00
   1.05053755e+02 -1.49310919e+00]
 [ 8.33950741e-01  2.67615176e-04  2.62539618e-01 ... -1.76141222e+00
   1.05053444e+02 -1.49299721e+00]
 ...
 [ 8.33865885e-01 -5.42508190e-05  2.62340718e-01 ... -1.76123253e+00
   1.05053649e+02 -1.49316476e+00]
 [ 8.34162917e-01 -3.74704606e-05  2.62581644e-01 ... -1.76124600e+00
   1.05053445e+02 -1.49311048e+00]
 [ 8.33938800e-01  6.73112740e-06  2.62212562e-01 ... -1.76151512e+00
   1.05053570e+02 -1.49300164e+00]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1', 'a_2', 'mu_2', 'e_2', 'i_2', 'ω_2', 't0_2']","[0.8339704702823881, 0.000143366676932505, 0.2624321102674767, -4.298147427868379e-06, 2.612538547260658, 59.720901265523544, 0.13474170035858848, -2.5783739636619087e-06, 0.2885103742022573, 1.1728036271001224e-06, -3.7097084668489773, 60.643385210314996, 0.10916730908499052, 0.00012002754060206905, 0.14172994080785267, -5.482397206475239e-06, -1.7613191715158896, 105.05358101364978, -1.4930118049789423]","[[[0.0001135922907821163, 8.570191197532218e-05]], [[0.00010040225152718673, 9.194327321965874e-05]], [[9.139226120447042e-05, 0.00015034534529539956]], [[0.00011997229175848991, 7.386146619424657e-05]], [[0.00011080271839247757, 0.00011379153163515454]], [[0.00010730447089457584, 9.666099568050868e-05]], [[0.00012890317486854985, 0.0001430037473592327]], [[8.000403332765074e-05, 9.921060640292576e-05]], [[9.510095793663353e-05, 0.0001227579848260274]], [[0.00011183471520673725, 0.00011095988773862825]], [[0.00011513243656935401, 0.00013621482162839982]], [[8.350885170926858e-05, 0.00010264378470026259]], [[9.27932409937049e-05, 0.00011713832231874388]], [[7.633839204954703e-05, 0.00010104110846622195]], [[0.00010380685968322534, 0.00012160806281269476]], [[9.494294679294928e-05, 9.665817040079686e-05]], [[0.00011495587170018418, 0.00013459081072597634]], [[0.0001360080955379317, 7.24225414785451e-05]], [[0.00010156027372087983, 0.00014070237311214484]]]",13,-723.149040697047,1472.298081394094,1476.0123671083797,1507.6385667209302,1486.636839939135
